Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Population, total [SP.POP.TOTL]",Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Military expenditure (current USD) [MS.MIL.XPND.CD]
2011,YR2011,United States,USA,15542581104000,1.55083550568156,49886.8181094923,0.822277547660107,311556874,8169.90771484375,16.3762927055359,711338000000
2011,YR2011,United Kingdom,GBR,2659310054646.23,1.54014736820638,42038.572250193,0.749697186314947,63258810,3501.94970703125,8.37611109018326,60270435686.808
2011,YR2011,Germany,DEU,3744408602683.94,3.92413341771297,46644.776027968,5.8685566312854,80274983,5021.630859375,10.7205376029015,48140347950.5946
2011,YR2011,Japan,JPN,6157459594823.72,-0.115421339717841,48167.9972684965,0.0697628079004318,127833000,5087.10205078125,10.6167174875736,60762213840.8911
2011,YR2011,Russian Federation,RUS,2051661732059.78,4.30002918578838,14351.2120537753,4.21874117240107,142960868,684.752624511719,4.79797385632992,70237523951.4946
2011,YR2011,India,IND,1823050405350.42,5.2413447428854,1458.10352686177,3.89393034480594,1250288729,48.7228355407715,3.24634201824665,49633815793.7027
2011,YR2011,Italy,ITA,2291991045770.29,0.707333347034435,38599.0622070322,0.534287439584816,59379449,3387.57568359375,8.8346429169178,33828804971.12
2011,YR2011,Brazil,BRA,2616200980392.16,3.97442540583816,13245.6124995448,3.02640687298958,197514534,1025.49035644531,7.78830125927925,36936209895.8053
2011,YR2011,Indonesia,IDN,892969107923.094,6.16978420771008,3643.04393616102,4.74822060762054,245116206,107.408149719238,2.95542031526566,5838026185.71723
2011,YR2011,Australia,AUS,1396649906339.35,2.46278617259068,62517.8337471503,1.04888379967608,22340024,5876.86572265625,8.54151993989944,26597198655.3381
2012,YR2012,United States,USA,16197007349000,2.24954585236992,51610.6052783379,1.50861415465707,313830990,8440.9951171875,16.3715332746506,684780000000
2012,YR2012,United Kingdom,GBR,2704887678386.72,1.4789239471568,42462.771568145,0.775734728330875,63700215,3492.8896484375,8.2859180867672,58495656720.591
2012,YR2012,Germany,DEU,3527344944139.83,0.41955108005358,43858.3630551076,0.231212502717355,80425823,4754.65576171875,10.7769027352333,46470870904.8252
2012,YR2012,Japan,JPN,6203213121334.12,1.49508958594926,48603.4766497749,1.65731759271522,127629000,5212.06982421875,10.790653526783,60011530194.6974
2012,YR2012,Russian Federation,RUS,2210256976945.38,3.7000570551393,15434.5747807126,3.52567499455975,143201676,760.070678710938,4.94897477328777,81469399931.2577
2012,YR2012,India,IND,1827637859135.7,5.45635895072287,1443.87952939042,4.16549983071508,1265782790,49.0514030456543,3.32935303449631,47216920048.2061
2012,YR2012,Italy,ITA,2087077032435.15,-2.98090576823772,35053.5262442572,-3.24206011995115,59539717,3125.61157226563,8.95606130361557,29781008205.1256
2012,YR2012,Brazil,BRA,2465188674415.03,1.92115031836302,12370.0242007149,1.01450977525141,199287296,950.929504394531,7.73530080914497,33987005074.0629
2012,YR2012,Indonesia,IDN,917869910105.749,6.03005065305612,3694.34894603237,4.6062842547838,248452413,107.056396484375,2.90286671370268,6531097955.28321
2012,YR2012,Australia,AUS,1546151783872.96,3.91816177220686,68012.1479005934,2.1196825044921,22733465,6047.0576171875,8.67569968104362,26216580848.4356
2013,YR2013,United States,USA,16784849190000,1.84208107101102,53117.6678308301,1.14505323682039,315993715,8647.6435546875,16.3475170731544,639704000000
