Time,Time Code,Country Name,Country Code,"Government expenditure on education, US$ (millions) [UIS.X.US.FSGOV]"
2011,YR2011,Brazil,BRA,150102.1664
2011,YR2011,India,IND,63609.40835
2011,YR2011,Japan,JPN,
2011,YR2011,Russian Federation,RUS,
2011,YR2011,Germany,DEU,180662.7597
2011,YR2011,United States,USA,
2011,YR2011,United Kingdom,GBR,138495.7045
2011,YR2011,Italy,ITA,94331.09868
2011,YR2011,Indonesia,IDN,28480.73489
2011,YR2011,Australia,AUS,70873.16659
2012,YR2012,Brazil,BRA,144339.2393
2012,YR2012,India,IND,70506.50862
2012,YR2012,Japan,JPN,
2012,YR2012,Russian Federation,RUS,83762.87698
2012,YR2012,Germany,DEU,174835.7737
2012,YR2012,United States,USA,
2012,YR2012,United Kingdom,GBR,
2012,YR2012,Italy,ITA,84652.32
2012,YR2012,Indonesia,IDN,31276.20364
2012,YR2012,Australia,AUS,75282.20355
2013,YR2013,Brazil,BRA,144383.4178
2013,YR2013,India,IND,70266.65833
2013,YR2013,Japan,JPN,227371.3044
2013,YR2013,Russian Federation,RUS,86284.84489
2013,YR2013,Germany,DEU,185185.4951
2013,YR2013,United States,USA,798681.8155
2013,YR2013,United Kingdom,GBR,149574.9062
2013,YR2013,Italy,ITA,88729.03313
2013,YR2013,Indonesia,IDN,30652.04285
2013,YR2013,Australia,AUS,82430.32112
2014,YR2014,Brazil,BRA,146094.2443
2014,YR2014,India,IND,
2014,YR2014,Japan,JPN,185120.5019
2014,YR2014,Russian Federation,RUS,82655.53695
2014,YR2014,Germany,DEU,191850.8427
2014,YR2014,United States,USA,832820.6112
2014,YR2014,United Kingdom,GBR,155989.3004
2014,YR2014,Italy,ITA,87688.55611
2014,YR2014,Indonesia,IDN,29290.04051
2014,YR2014,Australia,AUS,75792.11971
2015,YR2015,Brazil,BRA,112477.2584
2015,YR2015,India,IND,
2015,YR2015,Japan,JPN,
2015,YR2015,Russian Federation,RUS,52276.33588
2015,YR2015,Germany,DEU,162481.9365
2015,YR2015,United States,USA,
2015,YR2015,United Kingdom,GBR,170229.8069
2015,YR2015,Italy,ITA,74787.70674
2015,YR2015,Indonesia,IDN,30849.57429
2015,YR2015,Australia,AUS,71792.18446
