Time,Country Name,Country Code,GDP,GDP growth,GDP per capita,GDP per capita growth,Population,Health expenditure per capita,Health expenditure,Health expenditure (% of GDP),Military expenditure,"Expenditure on education, US$ (millions)",Expenditure on education
2013,Brazil,BRA,2.47E+12,3.005,12300.32,2.109,201035903,974.5,1.95909E+11,7.977,32874787231,144383.4178,1.44E+11
2013,Indonesia,IDN,9.13E+11,5.557,3623.91,4.151,251806402,107.2,26992439056,2.961,8384028601,30652.04285,30652042850
2013,Australia,AUS,1.58E+12,2.585,68150.11,0.834,23128129,5838.41,1.35032E+11,8.759,24825262589,82430.32112,82430321120
2014,United States,USA,1.75E+13,2.452,55047.73,1.709,318301008,9068,2.88635E+12,16.532,6.10E+11,832820.6112,8.33E+11
2014,United Kingdom,GBR,3.06E+12,2.607,47425.61,1.855,64602298,4601.14,2.97244E+11,9.757,59182858554,155989.3004,1.56E+11
2014,Germany,DEU,3.88E+12,2.226,47959.99,1.8,80982500,5290.72,4.28456E+11,10.96,46102673010,191850.8427,1.92E+11
2014,Japan,JPN,4.85E+12,0.375,38109.41,0.508,127276000,4099.46,5.21763E+11,10.832,46881244398,185120.5019,1.85E+11
2014,Russian Federation,RUS,2.06E+12,0.7,14100.73,-1.081,143819666,742.28,1.06755E+11,5.189,84696504653,82655.53695,82655536950
2014,India,IND,2.04E+12,7.41,1573.88,6.187,1295604184,57.15,74045253909,3.62,50914108341,68127.5251,68127525100
2014,Italy,ITA,2.16E+12,-0.005,35518.42,-0.918,60789140,3190.09,1.93923E+11,9.011,27701034335,87688.55611,87688556110
2014,Brazil,BRA,2.46E+12,0.504,12112.59,-0.352,202763735,1009.83,2.04757E+11,8.396,32659614241,146094.2443,1.46E+11
2014,Indonesia,IDN,8.91E+11,5.007,3491.62,3.639,255129004,108.84,27767543021,3.117,6929255301,29290.04051,29290040510
2014,Australia,AUS,1.47E+12,2.533,62510.79,1.015,23475686,5637.57,1.32346E+11,9.038,25783708714,75792.11971,75792119710
2015,United States,USA,1.82E+13,2.881,56822.52,2.132,320635163,9538.07,3.05824E+12,16.84,5.96E+11,815751.2134,8.16E+11
2015,United Kingdom,GBR,2.93E+12,2.356,44974.83,1.548,65116219,4326.25,2.81709E+11,9.687,53862185493,170229.8069,1.70E+11
2015,Germany,DEU,3.36E+12,1.74,41139.54,0.863,81686611,4617.49,3.77187E+11,11.088,39812576245,162481.9365,1.62E+11
2015,Japan,JPN,4.39E+12,1.223,34524.47,1.33,127141000,3733.67,4.74703E+11,10.886,42106103306,206245.9032,2.06E+11
2015,Russian Federation,RUS,1.36E+12,-2.308,9313.79,-2.518,144096870,501.85,72315490018,5.295,66418708184,52276.33588,52276335880
2015,India,IND,2.10E+12,7.996,1605.61,6.797,1310152403,58.97,77254885885,3.596,51295483754,68127.5251,68127525100
2015,Italy,ITA,1.84E+12,0.778,30230.23,0.875,60730582,2708.84,1.64509E+11,8.988,22180845070,74787.70674,74787706740
2015,Brazil,BRA,1.80E+12,-3.546,8814,-4.351,204471769,776.15,1.58701E+11,8.87,24617701683,112477.2584,1.12E+11
2015,Indonesia,IDN,8.61E+11,4.876,3331.7,3.555,258383256,100.43,25949611839,3.012,7639095193,30849.57429,30849574290
2015,Australia,AUS,1.35E+12,2.193,56755.72,0.732,23815995,4887.8,1.16408E+11,9.315,24045569111,71792.18446,71792184460
