Time,Country Name,Country Code,GDP,GDP growth,GDP per capita,GDP per capita growth,Population,Health expenditure per capita,Health expenditure,Health expenditure (% of GDP),Military expenditure,"Expenditure on education, US$ (millions)",Expenditure on education
2011,United States,USA,1.55E+13,1.551,49886.82,0.822,311556874,8169.91,2.54539E+12,16.376,7.11E+11,815751.2134,8.16E+11
2011,United Kingdom,GBR,2.66E+12,1.54,42038.57,0.75,63258810,3501.95,2.21529E+11,8.376,60270435687,138495.7045,1.38E+11
2011,Germany,DEU,3.74E+12,3.924,46644.78,5.869,80274983,5021.63,4.03111E+11,10.721,48140347951,180662.7597,1.81E+11
2011,Japan,JPN,6.16E+12,-0.115,48168,0.07,127833000,5087.1,6.503E+11,10.617,60762213841,206245.9032,2.06E+11
2011,Russian Federation,RUS,2.05E+12,4.3,14351.21,4.219,142960868,684.75,97892829565,4.798,70237523951,76244.89868,76244898675
2011,India,IND,1.82E+12,5.241,1458.1,3.894,1250288729,48.72,60917612122,3.246,49633815794,63609.40835,63609408350
2011,Italy,ITA,2.29E+12,0.707,38599.06,0.534,59379449,3387.58,2.01152E+11,8.835,33828804971,94331.09868,94331098680
2011,Brazil,BRA,2.62E+12,3.974,13245.61,3.026,197514534,1025.49,2.02549E+11,7.788,36936209896,150102.1664,1.50E+11
2011,Indonesia,IDN,8.93E+11,6.17,3643.04,4.748,245116206,107.41,26327478153,2.955,5838026186,28480.73489,28480734890
2011,Australia,AUS,1.40E+12,2.463,62517.83,1.049,22340024,5876.87,1.31289E+11,8.542,26597198655,70873.16659,70873166590
2012,United States,USA,1.62E+13,2.25,51610.61,1.509,313830990,8441,2.64905E+12,16.372,6.85E+11,815751.2134,8.16E+11
2012,United Kingdom,GBR,2.70E+12,1.479,42462.77,0.776,63700215,3492.89,2.22498E+11,8.286,58495656721,153572.4295,1.54E+11
2012,Germany,DEU,3.53E+12,0.42,43858.36,0.231,80425823,4754.66,3.82397E+11,10.777,46470870905,174835.7737,1.75E+11
2012,Japan,JPN,6.20E+12,1.495,48603.48,1.657,127629000,5212.07,6.65211E+11,10.791,60011530195,206245.9032,2.06E+11
2012,Russian Federation,RUS,2.21E+12,3.7,15434.57,3.526,143201676,760.07,1.08843E+11,4.949,81469399931,83762.87698,83762876980
2012,India,IND,1.83E+12,5.456,1443.88,4.165,1265782790,49.05,62088421801,3.329,47216920048,70506.50862,70506508620
2012,Italy,ITA,2.09E+12,-2.981,35053.53,-3.242,59539717,3125.61,1.86098E+11,8.956,29781008205,84652.32,84652320000
2012,Brazil,BRA,2.47E+12,1.921,12370.02,1.015,199287296,950.93,1.89508E+11,7.735,33987005074,144339.2393,1.44E+11
2012,Indonesia,IDN,9.18E+11,6.03,3694.35,4.606,248452413,107.06,26598420034,2.903,6531097955,31276.20364,31276203640
2012,Australia,AUS,1.55E+12,3.918,68012.15,2.12,22733465,6047.06,1.37471E+11,8.676,26216580848,75282.20355,75282203550
2013,United States,USA,1.68E+13,1.842,53117.67,1.145,315993715,8647.64,2.7326E+12,16.348,6.40E+11,798681.8155,7.99E+11
2013,United Kingdom,GBR,2.79E+12,2.139,43444.53,1.458,64128273,4207.89,2.69845E+11,9.766,56861759588,149574.9062,1.50E+11
2013,Germany,DEU,3.73E+12,0.428,46285.76,0.155,80645605,5094.42,4.10842E+11,10.932,45930540563,185185.4951,1.85E+11
2013,Japan,JPN,5.16E+12,2,40454.45,2.148,127445000,4336.15,5.52621E+11,10.792,49023932407,227371.3044,2.27E+11
2013,Russian Federation,RUS,2.30E+12,1.8,16007.09,1.583,143506911,811.17,1.16408E+11,5.088,88352896464,86284.84489,86284844890
2013,India,IND,1.86E+12,6.386,1449.61,5.135,1280846129,56.22,72007201862,3.749,47403528801,70266.65833,70266658330
2013,Italy,ITA,2.14E+12,-1.841,35549.97,-2.972,60233948,3195.55,1.92481E+11,8.952,29957445905,88729.03313,88729033130
